user_id,event_type,mode,department,past_user_attendance_rate,days_before_registration,reminder_sent,day_of_week,is_weekend,attended
46,Sports,Hybrid,Engineering,0.24,18,0,Tuesday,0,0
47,Workshop,Hybrid,Design,0.34,42,0,Monday,0,0
48,Cultural,Online,Engineering,0.74,29,1,Wednesday,0,1
49,Workshop,Online,Sales,0.96,52,0,Friday,0,1
50,Sports,Online,Leadership,0.49,51,1,Saturday,1,1
51,Sports,Offline,Marketing,0.74,32,1,Saturday,1,0
52,Workshop,Hybrid,Marketing,0.99,16,0,Monday,0,1
53,Seminar,Offline,Design,0.23,17,0,Saturday,1,1
54,Webinar,Hybrid,Engineering,0.11,28,0,Friday,0,0
55,Seminar,Online,Finance,0.21,30,1,Wednesday,0,0
56,Workshop,Offline,Engineering,0.46,23,1,Friday,0,0
57,Cultural,Online,Sales,0.63,12,1,Sunday,1,1
58,Training,Online,Engineering,0.56,6,0,Thursday,0,1
59,Conference,Online,Marketing,0.22,26,1,Sunday,1,0
60,Summit,Hybrid,Sales,0.38,16,1,Saturday,1,0
61,Sports,Online,HR,0.48,48,0,Thursday,0,0
62,Seminar,Offline,Engineering,0.98,50,1,Thursday,0,0
63,Sports,Hybrid,Leadership,0.2,39,1,Sunday,1,0
64,Meetup,Online,Finance,0.15,11,1,Thursday,0,0
65,Meetup,Online,Operations,0.34,9,0,Saturday,1,0
66,Conference,Hybrid,Design,0.22,42,0,Wednesday,0,1
67,Summit,Offline,Engineering,0.6,7,0,Sunday,1,1
68,Meetup,Hybrid,Leadership,0.71,20,0,Sunday,1,0
69,Sports,Hybrid,Design,0.37,27,0,Tuesday,0,1
70,Summit,Hybrid,Marketing,0.75,20,1,Friday,0,1
71,Workshop,Hybrid,Finance,0.3,56,0,Tuesday,0,0
72,Workshop,Online,Sales,0.13,17,1,Friday,0,1
73,Cultural,Online,Engineering,0.66,32,1,Wednesday,0,1
74,Training,Online,Marketing,0.24,60,0,Tuesday,0,0
75,Seminar,Online,Operations,0.39,39,1,Monday,0,0
76,Workshop,Hybrid,Marketing,0.13,26,0,Saturday,1,0
77,Sports,Online,Sales,0.89,11,0,Tuesday,0,1
78,Training,Offline,Sales,1.0,21,1,Thursday,0,1
79,Summit,Offline,Design,0.18,36,1,Wednesday,0,0
80,Workshop,Hybrid,Marketing,0.98,19,0,Monday,0,1
81,Summit,Online,Leadership,0.43,2,1,Wednesday,0,0
82,Webinar,Offline,Design,0.33,39,0,Thursday,0,0
83,Cultural,Offline,Marketing,0.76,5,1,Sunday,1,1
84,Seminar,Online,Leadership,0.4,7,0,Thursday,0,1
85,Conference,Offline,HR,0.92,22,0,Friday,0,1
86,Meetup,Offline,Engineering,0.16,7,1,Friday,0,0
87,Summit,Offline,Design,0.8,27,1,Tuesday,0,1
88,Seminar,Online,Design,0.68,44,1,Tuesday,0,1
89,Cultural,Online,Engineering,0.98,20,0,Sunday,1,1
90,Conference,Hybrid,HR,0.11,2,1,Wednesday,0,1
91,Cultural,Offline,Finance,0.28,37,0,Tuesday,0,0
92,Cultural,Hybrid,Operations,0.13,50,1,Sunday,1,0
93,Training,Online,Design,0.39,9,1,Monday,0,0
94,Sports,Online,Sales,0.71,58,0,Saturday,1,1
95,Workshop,Hybrid,Operations,0.58,42,0,Sunday,1,0
96,Training,Online,Leadership,0.35,32,0,Friday,0,0
97,Training,Hybrid,Finance,0.94,16,0,Monday,0,1
98,Training,Online,Finance,0.17,11,0,Tuesday,0,0
99,Webinar,Hybrid,Finance,0.25,52,1,Wednesday,0,0
100,Conference,Hybrid,Engineering,0.44,28,1,Sunday,1,1
101,Webinar,Hybrid,Marketing,0.13,16,0,Sunday,1,1
102,Webinar,Hybrid,Sales,0.23,3,1,Saturday,1,1
103,Summit,Offline,Finance,0.92,60,1,Friday,0,1
104,Workshop,Offline,Marketing,0.53,31,1,Wednesday,0,0
105,Webinar,Offline,Sales,0.36,1,1,Friday,0,1
106,Seminar,Online,Engineering,0.5,3,1,Friday,0,1
107,Webinar,Online,Marketing,0.82,55,0,Saturday,1,1
108,Seminar,Offline,Engineering,0.75,26,0,Friday,0,0
109,Training,Hybrid,Finance,0.88,1,0,Monday,0,1
110,Summit,Hybrid,Operations,0.74,10,1,Thursday,0,1
111,Cultural,Offline,HR,0.22,50,1,Thursday,0,0
112,Seminar,Offline,Marketing,0.36,11,0,Wednesday,0,0
113,Training,Offline,Finance,0.64,43,1,Monday,0,0
114,Meetup,Online,Sales,0.45,22,0,Monday,0,0
115,Meetup,Offline,Engineering,0.31,23,0,Wednesday,0,1
116,Sports,Hybrid,Sales,0.17,20,0,Sunday,1,0
117,Meetup,Online,Design,0.6,4,0,Thursday,0,1
118,Seminar,Online,Finance,0.17,7,0,Wednesday,0,0
119,Meetup,Online,Finance,0.82,32,0,Thursday,0,0
120,Conference,Online,Sales,0.32,29,0,Friday,0,1
121,Conference,Online,Design,0.49,52,1,Thursday,0,0
122,Sports,Offline,Design,0.54,38,1,Sunday,1,1
123,Webinar,Offline,Leadership,0.97,30,0,Sunday,1,1
124,Sports,Online,Engineering,0.17,15,1,Saturday,1,1
125,Cultural,Online,Leadership,0.17,11,1,Sunday,1,0
126,Meetup,Hybrid,Leadership,0.5,1,0,Friday,0,0
127,Cultural,Hybrid,HR,0.84,40,1,Saturday,1,1
128,Conference,Hybrid,Operations,1.0,11,1,Tuesday,0,1
129,Seminar,Online,Leadership,0.44,12,1,Friday,0,0
130,Conference,Hybrid,Design,0.67,53,1,Saturday,1,0
131,Sports,Hybrid,Leadership,0.69,50,1,Wednesday,0,1
132,Conference,Hybrid,Finance,0.73,48,0,Tuesday,0,1
133,Conference,Online,Sales,0.16,45,0,Wednesday,0,0
134,Cultural,Online,Sales,0.33,25,0,Thursday,0,1
135,Training,Hybrid,Engineering,0.22,50,0,Monday,0,0
136,Cultural,Offline,Operations,0.6,20,0,Wednesday,0,1
137,Meetup,Online,HR,0.76,22,0,Tuesday,0,1
138,Cultural,Online,Leadership,0.89,14,0,Thursday,0,1
139,Workshop,Hybrid,Sales,0.24,22,1,Wednesday,0,0
140,Workshop,Offline,Leadership,0.58,39,0,Tuesday,0,0
141,Training,Offline,Sales,0.85,59,1,Wednesday,0,1
142,Sports,Online,Marketing,0.72,39,1,Sunday,1,1
143,Conference,Hybrid,Design,0.91,21,0,Friday,0,1
144,Conference,Online,Sales,0.87,60,1,Wednesday,0,1
145,Training,Online,Sales,0.33,17,1,Thursday,0,0
146,Workshop,Offline,Engineering,0.13,37,1,Monday,0,0
147,Cultural,Hybrid,Marketing,0.56,23,0,Thursday,0,1
148,Meetup,Online,Leadership,0.22,59,1,Sunday,1,0
149,Meetup,Offline,Leadership,0.32,29,0,Saturday,1,0
150,Webinar,Online,Operations,0.49,50,0,Friday,0,0
151,Webinar,Offline,Finance,0.89,3,1,Thursday,0,1
152,Seminar,Hybrid,Operations,0.18,16,1,Sunday,1,1
153,Cultural,Hybrid,HR,0.5,46,1,Tuesday,0,0
154,Training,Hybrid,Operations,0.25,2,0,Tuesday,0,0
155,Sports,Offline,Finance,0.77,17,0,Saturday,1,1
156,Conference,Hybrid,HR,0.4,55,0,Sunday,1,0
157,Seminar,Hybrid,Leadership,0.62,9,1,Tuesday,0,1
158,Summit,Online,Sales,0.32,44,0,Wednesday,0,1
159,Sports,Offline,Operations,0.78,9,1,Sunday,1,1
160,Workshop,Online,Marketing,0.23,22,0,Thursday,0,0
161,Workshop,Online,HR,0.84,12,0,Monday,0,1
162,Seminar,Online,Operations,0.95,30,1,Saturday,1,0
163,Webinar,Hybrid,Marketing,0.45,59,0,Wednesday,0,0
164,Seminar,Hybrid,Sales,0.37,36,1,Tuesday,0,1
165,Sports,Offline,Operations,0.48,7,1,Thursday,0,1
166,Sports,Hybrid,Sales,0.39,16,1,Thursday,0,1
167,Workshop,Online,Finance,0.68,60,0,Tuesday,0,1
168,Conference,Online,Engineering,0.35,44,0,Monday,0,1
169,Workshop,Offline,Finance,0.71,21,1,Monday,0,0
170,Training,Hybrid,HR,0.13,35,1,Friday,0,0
171,Cultural,Online,Leadership,0.21,21,1,Thursday,0,0
172,Webinar,Online,Sales,0.59,9,1,Thursday,0,0
173,Meetup,Online,Finance,0.3,37,1,Thursday,0,0
174,Summit,Online,Operations,0.18,42,1,Monday,0,0
175,Webinar,Offline,Finance,0.87,18,1,Friday,0,1
176,Seminar,Online,Sales,0.11,1,0,Wednesday,0,1
177,Summit,Online,Sales,0.22,50,1,Friday,0,0
178,Conference,Online,Operations,0.47,3,0,Tuesday,0,1
179,Meetup,Hybrid,HR,0.88,15,0,Friday,0,1
180,Seminar,Offline,Marketing,0.87,20,1,Thursday,0,1
181,Meetup,Online,HR,0.67,30,0,Thursday,0,1
182,Sports,Offline,HR,0.95,54,0,Wednesday,0,1
183,Webinar,Online,Leadership,0.9,17,0,Tuesday,0,1
184,Summit,Offline,Operations,0.94,8,0,Thursday,0,1
185,Meetup,Offline,Design,0.46,8,1,Tuesday,0,0
186,Sports,Offline,Engineering,0.8,43,0,Wednesday,0,1
187,Workshop,Offline,Engineering,0.11,44,0,Sunday,1,0
188,Sports,Hybrid,Design,0.42,30,0,Tuesday,0,1
189,Cultural,Online,HR,0.5,33,1,Monday,0,0
190,Sports,Online,Marketing,0.73,58,1,Monday,0,0
191,Summit,Hybrid,HR,0.78,17,1,Friday,0,1
192,Seminar,Offline,Design,0.2,23,0,Friday,0,0
193,Conference,Online,Leadership,0.8,58,1,Thursday,0,0
194,Conference,Online,Operations,0.24,27,0,Friday,0,1
195,Conference,Online,Finance,0.66,16,1,Saturday,1,1
196,Meetup,Offline,HR,0.44,22,1,Sunday,1,1
197,Workshop,Offline,Marketing,0.32,29,1,Sunday,1,1
198,Workshop,Online,Sales,0.45,46,1,Tuesday,0,1
199,Workshop,Online,Finance,0.37,22,0,Saturday,1,1
200,Cultural,Hybrid,Engineering,0.46,7,0,Tuesday,0,1
201,Conference,Offline,HR,0.78,52,1,Sunday,1,1
202,Training,Offline,Sales,0.3,22,1,Friday,0,1
203,Meetup,Offline,Engineering,0.91,4,1,Sunday,1,1
204,Cultural,Offline,Finance,0.91,4,1,Tuesday,0,1
205,Webinar,Hybrid,Finance,0.94,19,1,Thursday,0,1
206,Meetup,Online,Sales,0.34,56,1,Tuesday,0,0
207,Sports,Offline,HR,0.52,8,0,Tuesday,0,0
208,Meetup,Hybrid,Operations,0.93,45,1,Sunday,1,0
209,Webinar,Offline,HR,0.22,8,0,Friday,0,0
210,Conference,Online,Finance,0.53,49,0,Friday,0,0
211,Webinar,Offline,HR,0.36,56,1,Monday,0,1
212,Summit,Hybrid,Leadership,0.43,57,0,Monday,0,0
213,Cultural,Offline,Sales,0.92,10,1,Sunday,1,1
214,Meetup,Online,Marketing,0.3,44,1,Tuesday,0,0
215,Seminar,Hybrid,HR,0.25,29,0,Thursday,0,0
216,Seminar,Offline,Engineering,0.63,24,1,Wednesday,0,1
217,Workshop,Hybrid,Engineering,0.34,30,1,Sunday,1,1
218,Cultural,Online,Finance,0.11,30,0,Saturday,1,0
219,Webinar,Offline,Engineering,0.64,43,1,Wednesday,0,0
220,Sports,Offline,Finance,0.72,56,1,Tuesday,0,1
221,Workshop,Offline,Marketing,0.23,24,0,Wednesday,0,0
222,Conference,Offline,Design,0.88,4,1,Thursday,0,1
223,Sports,Hybrid,Leadership,0.55,53,0,Wednesday,0,1
224,Training,Offline,Marketing,0.24,54,1,Sunday,1,0
225,Cultural,Online,Sales,0.81,0,0,Monday,0,1
226,Conference,Offline,Operations,0.6,13,1,Thursday,0,1
227,Webinar,Offline,Engineering,0.26,37,1,Friday,0,1
228,Sports,Online,HR,0.61,56,0,Friday,0,1
229,Seminar,Online,Engineering,0.66,46,1,Monday,0,0
230,Training,Online,Marketing,0.74,12,1,Wednesday,0,0
231,Workshop,Online,Engineering,0.54,19,1,Saturday,1,1
232,Conference,Hybrid,Design,0.13,60,1,Saturday,1,0
233,Summit,Hybrid,Sales,0.9,23,0,Sunday,1,1
234,Webinar,Offline,Engineering,0.59,46,0,Friday,0,0
235,Workshop,Offline,Marketing,0.28,41,1,Friday,0,0
236,Summit,Offline,Marketing,0.27,24,0,Friday,0,0
237,Seminar,Offline,Engineering,0.42,56,0,Friday,0,0
238,Seminar,Hybrid,HR,0.91,10,0,Monday,0,1
239,Webinar,Online,Sales,0.76,24,0,Wednesday,0,1
240,Cultural,Offline,Sales,0.5,34,1,Saturday,1,1
241,Sports,Offline,Design,0.81,6,1,Tuesday,0,1
242,Workshop,Offline,Leadership,0.72,21,0,Wednesday,0,1
243,Cultural,Offline,Marketing,0.52,5,1,Monday,0,1
244,Training,Offline,Sales,0.42,26,0,Tuesday,0,0
245,Conference,Hybrid,Marketing,0.63,28,0,Tuesday,0,1
246,Training,Online,Sales,0.31,33,0,Wednesday,0,0
247,Meetup,Offline,Operations,1.0,31,0,Wednesday,0,1
248,Sports,Online,Engineering,0.59,29,1,Sunday,1,1
249,Conference,Offline,Finance,0.41,37,1,Tuesday,0,0
250,Sports,Offline,Marketing,0.2,17,0,Tuesday,0,0
251,Summit,Offline,Marketing,0.84,37,0,Wednesday,0,1
252,Cultural,Online,Leadership,0.76,48,0,Monday,0,0
253,Training,Offline,Finance,0.38,27,0,Sunday,1,1
254,Meetup,Offline,Engineering,0.95,44,0,Monday,0,1
255,Summit,Online,Engineering,0.81,27,0,Sunday,1,1
256,Webinar,Offline,Marketing,0.81,56,0,Thursday,0,1
257,Cultural,Offline,Design,0.94,19,0,Tuesday,0,1
258,Sports,Online,Engineering,0.41,51,1,Monday,0,1
259,Seminar,Online,HR,0.82,20,1,Wednesday,0,1
260,Meetup,Offline,Design,0.68,21,1,Wednesday,0,1
261,Cultural,Offline,Operations,0.99,42,0,Saturday,1,1
262,Summit,Offline,Finance,0.44,56,1,Saturday,1,1
263,Training,Online,Sales,0.35,20,0,Thursday,0,0
264,Sports,Online,Design,0.55,13,1,Sunday,1,1
265,Summit,Offline,Finance,0.12,42,0,Friday,0,0
266,Webinar,Online,Engineering,0.65,6,1,Tuesday,0,1
267,Seminar,Offline,HR,0.46,52,1,Sunday,1,0
268,Seminar,Online,Design,0.95,13,1,Friday,0,1
269,Meetup,Offline,Engineering,0.24,4,1,Monday,0,1
270,Webinar,Online,Engineering,0.87,34,0,Wednesday,0,1
271,Training,Offline,Finance,0.41,38,0,Thursday,0,0
272,Seminar,Hybrid,Design,0.16,17,0,Wednesday,0,0
273,Summit,Offline,HR,0.45,37,1,Monday,0,1
274,Cultural,Hybrid,Marketing,0.52,47,0,Sunday,1,1
275,Summit,Hybrid,Sales,0.17,59,1,Monday,0,1
276,Conference,Hybrid,Engineering,0.55,2,0,Tuesday,0,1
277,Meetup,Offline,Leadership,0.28,14,0,Friday,0,0
278,Meetup,Offline,Leadership,0.62,56,1,Thursday,0,1
279,Cultural,Online,Operations,0.3,57,1,Saturday,1,1
280,Sports,Hybrid,Operations,0.21,7,0,Tuesday,0,1
281,Sports,Offline,HR,0.63,0,0,Thursday,0,1
282,Workshop,Offline,Design,0.17,45,1,Tuesday,0,1
283,Meetup,Offline,Design,0.65,19,0,Thursday,0,1
284,Sports,Online,Engineering,0.3,12,0,Saturday,1,1
285,Training,Offline,Design,0.72,22,0,Saturday,1,0
286,Workshop,Offline,Leadership,0.75,5,1,Sunday,1,1
287,Conference,Offline,Leadership,0.71,35,1,Friday,0,1
288,Training,Hybrid,Leadership,0.6,33,1,Saturday,1,1
289,Seminar,Online,Finance,0.48,25,0,Thursday,0,1
290,Workshop,Online,Design,0.63,48,1,Thursday,0,1
291,Webinar,Offline,Leadership,0.36,23,0,Friday,0,0
292,Workshop,Hybrid,Leadership,0.65,12,0,Monday,0,1
293,Conference,Hybrid,Marketing,0.63,3,1,Saturday,1,1
294,Conference,Offline,Finance,0.59,9,0,Sunday,1,1
295,Webinar,Online,Engineering,0.81,37,0,Wednesday,0,1
296,Workshop,Online,HR,0.38,42,0,Sunday,1,0
297,Meetup,Online,Operations,0.99,53,0,Saturday,1,1
298,Training,Online,Design,0.7,44,0,Monday,0,1
299,Training,Hybrid,Engineering,0.84,46,0,Friday,0,1
300,Cultural,Online,Design,0.77,4,0,Saturday,1,1
301,Webinar,Hybrid,Operations,0.28,7,1,Sunday,1,1
302,Seminar,Online,Operations,0.34,11,0,Monday,0,0
303,Workshop,Online,Operations,0.76,46,0,Saturday,1,0
304,Summit,Hybrid,Marketing,0.36,11,0,Friday,0,0
305,Sports,Online,Finance,0.4,22,0,Sunday,1,1
306,Training,Offline,HR,0.18,13,0,Friday,0,0
307,Sports,Offline,Sales,0.86,12,0,Sunday,1,1
308,Sports,Offline,HR,0.64,13,1,Thursday,0,0
309,Cultural,Online,Sales,0.83,20,0,Sunday,1,1
310,Meetup,Online,Design,0.31,38,0,Wednesday,0,0
311,Summit,Hybrid,Operations,0.47,53,1,Wednesday,0,0
312,Summit,Hybrid,Design,0.36,21,0,Wednesday,0,0
313,Cultural,Hybrid,Operations,0.7,40,0,Tuesday,0,0
314,Summit,Offline,Sales,0.42,19,1,Saturday,1,0
315,Seminar,Online,Design,0.73,53,0,Monday,0,0
316,Sports,Hybrid,Sales,0.58,23,1,Wednesday,0,1
317,Sports,Offline,Leadership,0.37,3,1,Wednesday,0,1
318,Cultural,Online,HR,0.38,46,0,Tuesday,0,0
319,Seminar,Online,HR,0.8,27,0,Monday,0,1
320,Seminar,Hybrid,Leadership,0.85,46,0,Sunday,1,1
321,Summit,Hybrid,Finance,0.49,6,1,Monday,0,0
322,Training,Offline,Sales,0.27,33,1,Saturday,1,0
323,Sports,Online,Marketing,0.51,51,0,Friday,0,0
324,Meetup,Offline,Sales,0.49,55,1,Saturday,1,0
325,Seminar,Online,Finance,0.79,45,1,Thursday,0,1
326,Summit,Hybrid,Marketing,0.76,47,1,Thursday,0,1
327,Cultural,Offline,Sales,0.2,26,1,Saturday,1,1
328,Training,Hybrid,Sales,0.54,60,0,Saturday,1,1
329,Conference,Offline,Sales,0.87,55,1,Thursday,0,0
330,Webinar,Hybrid,Design,0.14,35,0,Sunday,1,0
331,Summit,Offline,Design,0.16,57,1,Saturday,1,0
332,Conference,Online,Engineering,0.53,58,1,Friday,0,1
333,Sports,Offline,Sales,0.5,7,0,Saturday,1,1
334,Webinar,Hybrid,Design,0.4,8,0,Saturday,1,1
335,Summit,Hybrid,Engineering,0.47,47,1,Wednesday,0,0
336,Sports,Offline,Marketing,0.65,49,0,Wednesday,0,1
337,Workshop,Hybrid,Marketing,0.6,41,1,Monday,0,1
338,Training,Online,Sales,0.67,56,1,Monday,0,1
339,Cultural,Online,Design,0.18,25,1,Saturday,1,1
340,Webinar,Hybrid,Operations,0.54,24,0,Saturday,1,1
341,Conference,Offline,Engineering,0.2,13,0,Tuesday,0,0
342,Workshop,Offline,Engineering,0.8,2,1,Saturday,1,1
343,Seminar,Hybrid,Marketing,0.65,14,0,Tuesday,0,1
344,Meetup,Offline,Leadership,0.52,33,1,Sunday,1,1
345,Webinar,Hybrid,Design,0.67,19,0,Tuesday,0,0
346,Summit,Hybrid,Design,0.31,27,0,Thursday,0,1
347,Cultural,Hybrid,HR,0.81,47,0,Sunday,1,1
348,Seminar,Offline,Leadership,0.87,55,1,Wednesday,0,1
349,Seminar,Hybrid,Sales,0.41,47,1,Tuesday,0,1
350,Summit,Offline,Engineering,0.21,33,0,Tuesday,0,0
351,Meetup,Online,Finance,0.35,40,0,Sunday,1,1
352,Seminar,Hybrid,Operations,0.33,27,0,Monday,0,1
353,Seminar,Offline,Sales,0.24,6,1,Thursday,0,0
354,Cultural,Hybrid,Marketing,0.22,19,1,Saturday,1,0
355,Webinar,Online,HR,0.67,52,0,Wednesday,0,1
356,Summit,Online,Operations,0.84,42,1,Sunday,1,1
357,Summit,Hybrid,Operations,0.8,53,1,Monday,0,1
358,Summit,Online,Leadership,0.1,25,0,Friday,0,0
359,Summit,Online,HR,0.21,5,1,Monday,0,1
360,Sports,Hybrid,Design,0.54,47,1,Thursday,0,1
361,Webinar,Online,Engineering,0.42,15,0,Monday,0,1
362,Workshop,Hybrid,Marketing,0.2,53,1,Tuesday,0,0
363,Workshop,Offline,Leadership,0.74,26,1,Monday,0,0
364,Meetup,Online,Operations,0.13,19,1,Saturday,1,1
365,Meetup,Hybrid,Marketing,0.86,53,1,Tuesday,0,0
366,Training,Hybrid,Marketing,0.42,29,0,Thursday,0,0
367,Training,Hybrid,Operations,0.61,26,0,Thursday,0,1
368,Conference,Online,HR,0.24,25,1,Monday,0,0
369,Workshop,Offline,Finance,0.51,46,0,Saturday,1,0
370,Conference,Hybrid,Leadership,0.98,54,1,Monday,0,1
371,Summit,Offline,Sales,0.31,14,1,Sunday,1,1
372,Training,Online,Marketing,0.59,26,0,Thursday,0,0
373,Training,Offline,Finance,0.52,34,0,Wednesday,0,0
374,Training,Offline,Sales,0.23,1,0,Thursday,0,0
375,Seminar,Offline,HR,0.59,10,0,Tuesday,0,1
376,Sports,Offline,Marketing,0.33,19,0,Saturday,1,1
377,Training,Offline,Engineering,0.66,16,1,Saturday,1,1
378,Sports,Offline,HR,0.27,17,0,Monday,0,0
379,Seminar,Hybrid,HR,0.47,21,0,Monday,0,0
380,Sports,Offline,Sales,0.39,17,1,Monday,0,0
381,Workshop,Hybrid,Leadership,0.9,49,1,Thursday,0,1
382,Conference,Hybrid,Sales,0.81,38,0,Saturday,1,1
383,Sports,Hybrid,Engineering,0.16,32,0,Wednesday,0,1
384,Workshop,Hybrid,HR,0.79,35,0,Sunday,1,1
385,Cultural,Online,Design,0.12,41,1,Friday,0,0
386,Conference,Online,HR,0.28,43,0,Thursday,0,0
387,Conference,Hybrid,Operations,0.34,47,0,Wednesday,0,0
388,Webinar,Hybrid,Operations,0.75,22,1,Monday,0,1
389,Seminar,Online,Finance,0.23,51,1,Friday,0,0
390,Summit,Online,Sales,0.44,12,1,Sunday,1,0
391,Seminar,Offline,Design,0.93,35,0,Tuesday,0,1
392,Summit,Offline,HR,0.41,3,1,Monday,0,0
393,Cultural,Online,HR,0.51,53,0,Tuesday,0,0
394,Summit,Offline,Design,0.85,1,0,Thursday,0,1
395,Webinar,Hybrid,Finance,0.53,32,1,Thursday,0,0
396,Meetup,Online,Finance,0.7,60,1,Saturday,1,1
397,Workshop,Online,Leadership,0.61,34,0,Monday,0,1
398,Sports,Offline,Design,0.91,22,1,Wednesday,0,1
399,Seminar,Hybrid,Engineering,0.26,1,1,Monday,0,0
400,Summit,Offline,Finance,0.4,45,0,Sunday,1,0
401,Sports,Online,Engineering,0.12,53,0,Saturday,1,1
402,Conference,Hybrid,Leadership,0.75,0,1,Saturday,1,1
403,Webinar,Online,Sales,0.11,27,1,Monday,0,0
404,Training,Hybrid,Finance,0.51,1,0,Thursday,0,0
405,Cultural,Offline,Sales,0.5,50,0,Friday,0,1
406,Cultural,Online,Finance,0.36,6,1,Sunday,1,1
407,Training,Hybrid,Finance,0.62,6,0,Saturday,1,1
408,Webinar,Offline,HR,0.71,54,0,Tuesday,0,1
409,Meetup,Offline,Operations,0.31,41,1,Thursday,0,1
410,Webinar,Offline,Finance,0.57,22,1,Wednesday,0,0
411,Seminar,Hybrid,Leadership,0.12,16,1,Sunday,1,0
412,Sports,Hybrid,Leadership,0.11,15,0,Wednesday,0,0
413,Cultural,Hybrid,HR,0.26,14,1,Sunday,1,0
414,Cultural,Offline,Operations,0.93,19,0,Saturday,1,1
415,Training,Offline,Marketing,0.88,46,0,Wednesday,0,1
416,Seminar,Online,Marketing,0.72,44,0,Thursday,0,1
417,Conference,Offline,Finance,0.18,32,1,Saturday,1,0
418,Cultural,Online,Sales,0.36,19,1,Thursday,0,1
419,Training,Online,HR,0.14,24,0,Saturday,1,0
420,Webinar,Offline,Engineering,0.49,28,0,Wednesday,0,1
421,Sports,Offline,HR,0.73,39,1,Monday,0,1
422,Training,Offline,Finance,0.61,23,1,Wednesday,0,1
423,Webinar,Offline,Finance,0.6,53,0,Sunday,1,1
424,Webinar,Hybrid,Marketing,0.3,4,1,Monday,0,0
425,Summit,Hybrid,Operations,0.62,52,0,Thursday,0,1
426,Workshop,Offline,Design,0.89,7,1,Thursday,0,1
427,Webinar,Offline,Marketing,0.36,51,0,Saturday,1,0
428,Cultural,Hybrid,Sales,0.99,6,0,Sunday,1,1
429,Webinar,Hybrid,Operations,0.77,10,0,Sunday,1,1
430,Conference,Offline,Finance,0.97,57,1,Monday,0,1
431,Cultural,Hybrid,Finance,0.77,12,1,Wednesday,0,0
432,Seminar,Online,Finance,0.79,18,1,Sunday,1,1
433,Conference,Hybrid,HR,0.93,32,0,Sunday,1,1
434,Summit,Offline,Finance,0.77,9,0,Monday,0,1
435,Cultural,Online,Engineering,0.49,20,1,Thursday,0,1
436,Webinar,Offline,Leadership,0.68,4,1,Tuesday,0,1
