event_id,event_name,event_type,mode,department,registrations,event_date,day_of_week,is_weekend,duration_hours,speaker_rating,reminder_sent,past_attendance_rate,weather,ticket_price,location_capacity,actual_attendance
19,Event_19,Webinar,Online,Leadership,583,2022-04-11,Monday,0,0.9,5.0,0,0.98,Cloudy,33.26,527,555
20,Event_20,Webinar,Offline,Engineering,188,2023-01-24,Tuesday,0,0.5,2.6,1,0.5,Stormy,0,528,119
21,Event_21,Webinar,Offline,Sales,79,2023-08-17,Thursday,0,6.0,1.2,1,0.34,Stormy,0,573,35
22,Event_22,Conference,Hybrid,Marketing,210,2022-03-12,Saturday,1,5.0,3.7,0,0.58,Stormy,49.24,638,137
23,Event_23,Workshop,Offline,Operations,287,2022-07-29,Friday,0,5.5,2.3,1,0.58,Rainy,91.44,799,148
24,Event_24,Conference,Offline,Marketing,95,2023-07-05,Wednesday,0,2.1,2.1,1,0.92,Cloudy,73.91,191,92
25,Event_25,Cultural,Hybrid,Finance,561,2022-01-09,Sunday,1,5.5,3.2,0,0.96,Cloudy,0,139,535
26,Event_26,Seminar,Offline,Finance,235,2024-01-05,Friday,0,3.1,3.7,1,0.65,Rainy,0,82,78
27,Event_27,Summit,Offline,Engineering,23,2022-12-08,Thursday,0,6.3,3.5,1,0.41,Snowy,110.34,467,13
28,Event_28,Conference,Online,Marketing,172,2023-07-13,Thursday,0,0.8,2.5,0,0.6,Clear,61.65,70,103
29,Event_29,Webinar,Hybrid,Sales,125,2022-12-29,Thursday,0,6.4,4.5,1,0.98,Cloudy,185.15,272,115
30,Event_30,Seminar,Offline,Engineering,203,2024-01-25,Thursday,0,7.4,4.1,1,0.86,Cloudy,0,748,188
31,Event_31,Summit,Online,Leadership,247,2022-07-24,Sunday,1,6.6,2.8,1,0.87,Cloudy,0,705,232
32,Event_32,Summit,Offline,Finance,91,2024-03-02,Saturday,1,2.6,3.6,1,0.78,Stormy,0,58,54
33,Event_33,Meetup,Online,Finance,59,2022-04-22,Friday,0,5.0,2.4,1,0.61,Stormy,23.13,620,36
34,Event_34,Meetup,Online,Design,21,2023-06-17,Saturday,1,7.4,3.2,0,0.55,Clear,0,368,17
35,Event_35,Training,Hybrid,Marketing,327,2023-06-04,Sunday,1,2.8,2.6,1,0.79,Stormy,0,460,312
36,Event_36,Summit,Hybrid,HR,328,2023-02-20,Monday,0,4.6,1.0,1,0.45,Stormy,121.33,359,166
37,Event_37,Sports,Offline,Sales,543,2023-04-30,Sunday,1,6.5,4.8,0,0.76,Rainy,0,678,519
38,Event_38,Training,Online,Sales,337,2022-08-19,Friday,0,6.5,1.6,0,0.47,Snowy,122.25,104,160
39,Event_39,Summit,Hybrid,Sales,413,2023-05-22,Monday,0,3.5,1.6,0,0.92,Clear,0,254,376
40,Event_40,Cultural,Offline,Engineering,590,2022-09-13,Tuesday,0,7.4,1.5,0,0.86,Stormy,197.58,639,560
41,Event_41,Sports,Hybrid,Design,581,2023-04-02,Sunday,1,7.2,4.0,1,0.62,Cloudy,0,313,537
42,Event_42,Sports,Hybrid,Sales,301,2023-03-27,Monday,0,1.1,2.1,1,0.54,Stormy,16.12,184,220
43,Event_43,Summit,Hybrid,HR,239,2022-03-07,Monday,0,3.6,2.3,1,0.59,Cloudy,0,428,156
44,Event_44,Conference,Hybrid,Design,508,2022-01-07,Friday,0,7.6,2.2,1,0.9,Snowy,107.64,782,485
45,Event_45,Webinar,Offline,Sales,299,2023-03-23,Thursday,0,4.1,2.6,1,0.81,Snowy,183.91,667,287
46,Event_46,Conference,Offline,Engineering,105,2023-10-21,Saturday,1,3.7,4.5,0,0.34,Snowy,65.47,495,51
47,Event_47,Training,Offline,Finance,451,2022-09-16,Friday,0,6.8,2.9,0,1.0,Rainy,0,100,105
48,Event_48,Conference,Online,Sales,224,2024-05-09,Thursday,0,0.7,1.6,0,0.63,Clear,112.79,253,143
49,Event_49,Meetup,Offline,HR,137,2024-03-07,Thursday,0,6.6,4.9,0,0.71,Rainy,0,414,91
50,Event_50,Webinar,Online,Sales,124,2023-12-15,Friday,0,6.3,4.4,0,0.86,Stormy,0,385,120
51,Event_51,Summit,Hybrid,Operations,90,2023-06-03,Saturday,1,5.4,1.1,1,0.88,Clear,0,400,90
52,Event_52,Sports,Hybrid,HR,465,2022-06-30,Thursday,0,6.0,4.9,1,0.73,Stormy,154.93,506,442
53,Event_53,Meetup,Offline,Sales,108,2022-10-13,Thursday,0,7.1,2.0,1,0.7,Snowy,67.28,536,81
54,Event_54,Seminar,Offline,Sales,383,2024-03-27,Wednesday,0,2.4,2.1,1,0.69,Stormy,0,117,115
55,Event_55,Summit,Offline,Sales,507,2023-10-24,Tuesday,0,5.8,2.8,0,0.37,Cloudy,80.88,279,186
56,Event_56,Training,Offline,Operations,455,2024-02-03,Saturday,1,4.6,2.4,1,0.49,Rainy,46.11,768,243
57,Event_57,Training,Online,HR,216,2022-08-10,Wednesday,0,6.0,2.1,1,0.99,Cloudy,0,399,202
58,Event_58,Meetup,Online,HR,300,2022-02-16,Wednesday,0,7.8,3.2,0,0.75,Snowy,0,42,229
59,Event_59,Meetup,Offline,Leadership,471,2022-12-15,Thursday,0,1.9,1.2,1,0.38,Clear,80.14,105,109
60,Event_60,Conference,Online,HR,596,2022-11-08,Tuesday,0,1.1,2.0,1,0.72,Stormy,0,565,459
61,Event_61,Sports,Offline,Finance,459,2022-11-09,Wednesday,0,4.8,1.2,0,0.96,Cloudy,0,300,305
62,Event_62,Workshop,Online,Sales,197,2023-07-20,Thursday,0,1.1,1.0,1,0.78,Snowy,0,267,162
63,Event_63,Meetup,Hybrid,Leadership,92,2023-12-05,Tuesday,0,2.3,2.1,0,0.6,Stormy,0,182,54
64,Event_64,Seminar,Online,Engineering,189,2024-03-22,Friday,0,2.8,4.0,1,0.61,Snowy,0,746,125
65,Event_65,Meetup,Hybrid,Leadership,468,2022-03-24,Thursday,0,5.0,4.6,1,0.72,Clear,18.27,720,387
66,Event_66,Conference,Hybrid,Finance,61,2024-02-21,Wednesday,0,6.2,2.9,1,0.94,Cloudy,0,476,62
67,Event_67,Sports,Online,Leadership,376,2023-02-23,Thursday,0,3.0,3.7,0,0.53,Snowy,0,440,258
68,Event_68,Conference,Offline,Marketing,342,2022-09-16,Friday,0,2.9,4.9,1,0.91,Clear,131.53,585,326
69,Event_69,Summit,Online,Sales,550,2023-01-06,Friday,0,5.2,3.0,1,0.83,Cloudy,53.41,164,483
70,Event_70,Sports,Hybrid,Leadership,144,2022-01-30,Sunday,1,7.8,3.4,0,0.8,Rainy,0,595,137
71,Event_71,Workshop,Online,Marketing,492,2022-05-01,Sunday,1,5.4,1.6,1,0.66,Rainy,83.1,524,351
72,Event_72,Webinar,Offline,HR,412,2022-07-15,Friday,0,7.4,3.0,0,0.9,Rainy,154.54,454,370
73,Event_73,Cultural,Offline,Engineering,309,2024-01-14,Sunday,1,2.7,3.3,1,0.91,Snowy,0,383,293
74,Event_74,Cultural,Hybrid,Design,486,2022-11-26,Saturday,1,7.0,4.9,0,0.7,Cloudy,171.2,450,456
75,Event_75,Training,Hybrid,Leadership,410,2023-01-31,Tuesday,0,7.9,4.2,0,0.65,Clear,0,634,287
76,Event_76,Workshop,Offline,Marketing,558,2023-04-13,Thursday,0,0.6,1.6,0,0.35,Rainy,0,739,140
77,Event_77,Workshop,Offline,Design,344,2023-10-04,Wednesday,0,5.9,4.0,0,0.73,Cloudy,126.23,324,249
78,Event_78,Workshop,Offline,Marketing,122,2023-03-31,Friday,0,1.7,2.2,0,0.33,Clear,58.67,413,41
79,Event_79,Seminar,Online,Design,599,2023-11-30,Thursday,0,6.4,1.7,0,0.73,Snowy,0,276,439
80,Event_80,Seminar,Online,Leadership,280,2023-04-16,Sunday,1,2.4,1.0,1,0.93,Stormy,0,482,266
81,Event_81,Meetup,Hybrid,Design,276,2023-04-13,Thursday,0,6.8,1.8,1,0.9,Clear,47.44,615,262
82,Event_82,Meetup,Hybrid,Finance,42,2024-04-29,Monday,0,5.4,2.1,0,0.94,Snowy,166.57,323,37
83,Event_83,Training,Online,Sales,276,2023-11-26,Sunday,1,6.2,4.1,0,0.74,Clear,61.79,481,240
84,Event_84,Training,Hybrid,HR,112,2022-10-30,Sunday,1,3.0,2.7,0,0.39,Stormy,0,404,57
85,Event_85,Cultural,Offline,HR,283,2024-04-24,Wednesday,0,7.6,4.9,1,0.82,Rainy,160.85,509,264
86,Event_86,Seminar,Online,Design,590,2023-01-10,Tuesday,0,1.2,2.6,1,0.68,Snowy,73.72,796,435
87,Event_87,Meetup,Hybrid,Design,400,2022-04-21,Thursday,0,5.6,2.9,1,0.94,Cloudy,0,680,382
88,Event_88,Meetup,Hybrid,Design,139,2022-05-24,Tuesday,0,0.8,1.1,1,0.38,Cloudy,177.45,168,60
89,Event_89,Sports,Offline,Design,178,2023-03-01,Wednesday,0,5.4,4.3,1,0.96,Rainy,0,409,167
90,Event_90,Sports,Offline,Sales,391,2022-04-12,Tuesday,0,7.9,2.5,1,0.34,Rainy,37.96,155,157
91,Event_91,Workshop,Hybrid,Sales,41,2022-02-21,Monday,0,6.4,2.0,0,0.85,Cloudy,0,597,32
92,Event_92,Webinar,Online,Operations,171,2024-03-18,Monday,0,7.3,1.0,0,0.99,Stormy,50.13,208,158
93,Event_93,Conference,Online,Engineering,386,2024-03-19,Tuesday,0,6.4,3.4,0,0.42,Clear,25.35,461,165
94,Event_94,Workshop,Hybrid,Marketing,507,2023-04-05,Wednesday,0,6.3,3.1,0,0.62,Cloudy,189.08,74,319
95,Event_95,Cultural,Offline,Leadership,51,2022-03-04,Friday,0,8.0,4.4,1,0.78,Snowy,0,484,44
96,Event_96,Workshop,Offline,HR,87,2022-05-10,Tuesday,0,2.6,3.5,1,0.57,Stormy,0,494,56
97,Event_97,Summit,Online,Marketing,584,2024-01-09,Tuesday,0,7.0,2.7,0,0.59,Snowy,0,777,340
98,Event_98,Training,Offline,Operations,281,2023-01-19,Thursday,0,7.7,3.7,1,0.35,Clear,0,128,112
99,Event_99,Seminar,Hybrid,Engineering,595,2023-07-30,Sunday,1,3.0,1.5,1,0.91,Snowy,173.62,768,560
100,Event_100,Meetup,Hybrid,Finance,380,2022-04-17,Sunday,1,4.8,1.9,1,0.46,Clear,0,599,231
101,Event_101,Workshop,Offline,Sales,459,2024-05-15,Wednesday,0,4.7,4.1,0,0.73,Rainy,5.79,309,308
102,Event_102,Training,Offline,Engineering,205,2024-06-09,Sunday,1,1.6,3.6,0,0.4,Clear,18.35,573,100
103,Event_103,Summit,Offline,Leadership,369,2022-06-11,Saturday,1,3.3,3.9,0,0.92,Cloudy,31.48,662,345
104,Event_104,Workshop,Offline,Leadership,454,2023-05-13,Saturday,1,5.1,2.7,0,0.83,Clear,0,143,142
105,Event_105,Sports,Hybrid,Finance,66,2022-08-14,Sunday,1,3.5,3.4,0,0.44,Cloudy,153.47,291,44
106,Event_106,Training,Online,Engineering,529,2024-02-04,Sunday,1,3.7,1.5,0,0.65,Rainy,0,789,338
107,Event_107,Summit,Online,Leadership,99,2024-06-01,Saturday,1,2.8,2.7,1,0.8,Snowy,57.9,444,89
108,Event_108,Training,Online,Leadership,390,2022-04-01,Friday,0,3.8,1.4,1,0.71,Stormy,0,347,296
109,Event_109,Webinar,Offline,HR,98,2023-06-07,Wednesday,0,5.2,3.1,0,0.93,Rainy,70.22,690,88
110,Event_110,Webinar,Online,HR,282,2022-07-22,Friday,0,1.8,1.6,0,0.42,Snowy,92.79,607,150
111,Event_111,Sports,Hybrid,Operations,343,2022-06-04,Saturday,1,3.8,2.9,1,0.86,Stormy,0,549,321
112,Event_112,Meetup,Offline,Leadership,58,2022-02-28,Monday,0,3.3,2.1,0,0.73,Stormy,76.9,624,45
113,Event_113,Conference,Offline,Sales,349,2023-09-12,Tuesday,0,4.1,1.6,0,0.62,Rainy,196.48,116,119
114,Event_114,Seminar,Online,Sales,468,2023-03-26,Sunday,1,4.4,3.4,1,0.56,Rainy,77.48,376,290
115,Event_115,Conference,Hybrid,Operations,87,2022-12-04,Sunday,1,1.2,3.7,1,0.48,Stormy,0,371,50
116,Event_116,Seminar,Offline,Finance,421,2022-05-13,Friday,0,5.0,4.8,1,0.69,Rainy,162.64,716,295
117,Event_117,Cultural,Online,Design,540,2023-01-06,Friday,0,0.6,2.2,0,0.54,Snowy,38.4,170,369
118,Event_118,Workshop,Offline,Marketing,539,2024-02-29,Thursday,0,4.5,4.0,0,0.76,Stormy,26.21,415,406
119,Event_119,Seminar,Online,HR,468,2022-02-14,Monday,0,3.6,3.7,0,0.98,Stormy,56.99,796,446
120,Event_120,Webinar,Hybrid,Sales,336,2024-04-08,Monday,0,6.4,4.6,0,0.56,Stormy,0,502,237
121,Event_121,Summit,Hybrid,Design,185,2024-04-16,Tuesday,0,2.0,3.4,1,0.34,Snowy,174.82,597,68
122,Event_122,Cultural,Online,Finance,105,2024-02-21,Wednesday,0,1.7,2.8,0,0.88,Clear,189.28,257,101
123,Event_123,Training,Online,Design,74,2023-02-10,Friday,0,4.3,1.9,0,0.56,Clear,0,131,46
124,Event_124,Training,Online,HR,59,2022-10-21,Friday,0,7.4,2.9,0,0.83,Snowy,0,35,44
125,Event_125,Conference,Offline,Sales,173,2023-07-16,Sunday,1,7.6,3.4,1,0.38,Rainy,0,154,69
126,Event_126,Webinar,Offline,Leadership,84,2022-04-24,Sunday,1,6.8,3.0,0,0.74,Stormy,48.39,177,77
127,Event_127,Summit,Online,Operations,266,2023-08-08,Tuesday,0,3.6,3.7,0,0.67,Rainy,0,568,154
128,Event_128,Cultural,Hybrid,Engineering,419,2024-06-13,Thursday,0,4.0,3.5,1,0.48,Clear,71.42,99,284
129,Event_129,Webinar,Hybrid,Marketing,360,2022-05-17,Tuesday,0,0.8,3.2,0,0.88,Snowy,0,520,347
130,Event_130,Seminar,Online,Marketing,488,2022-02-07,Monday,0,2.7,1.2,0,0.92,Rainy,186.67,557,401
131,Event_131,Cultural,Offline,Finance,57,2024-02-11,Sunday,1,5.4,2.1,0,0.91,Rainy,54.64,406,55
132,Event_132,Summit,Hybrid,Leadership,415,2022-12-14,Wednesday,0,7.8,3.0,1,0.56,Stormy,0,114,254
133,Event_133,Workshop,Offline,HR,578,2022-10-28,Friday,0,2.9,1.3,1,0.51,Stormy,0,200,202
134,Event_134,Training,Offline,Engineering,381,2023-09-22,Friday,0,8.0,2.1,0,0.35,Snowy,0,797,138
135,Event_135,Seminar,Online,HR,468,2022-02-05,Saturday,1,1.4,1.9,1,0.55,Stormy,6.48,187,332
136,Event_136,Sports,Offline,Operations,474,2024-02-21,Wednesday,0,1.1,1.6,1,0.58,Rainy,49.92,146,141
137,Event_137,Seminar,Offline,Design,595,2022-05-01,Sunday,1,2.5,2.0,1,0.45,Stormy,57.12,532,355
138,Event_138,Workshop,Online,Marketing,482,2022-06-26,Sunday,1,7.2,2.8,0,0.87,Rainy,0,756,415
139,Event_139,Cultural,Hybrid,Finance,327,2024-05-21,Tuesday,0,1.7,3.8,0,0.86,Stormy,0,235,307
140,Event_140,Webinar,Offline,Engineering,389,2023-07-22,Saturday,1,4.8,2.9,0,0.73,Clear,13.15,437,363
141,Event_141,Cultural,Offline,Design,95,2022-05-09,Monday,0,7.8,3.6,1,0.63,Stormy,68.9,594,83
142,Event_142,Seminar,Online,Design,534,2024-06-08,Saturday,1,0.9,1.5,0,0.51,Cloudy,64.53,756,323
143,Event_143,Training,Hybrid,Finance,100,2022-09-14,Wednesday,0,2.0,4.8,1,0.39,Rainy,122.89,125,42
144,Event_144,Seminar,Hybrid,HR,195,2023-11-06,Monday,0,5.2,4.6,1,0.89,Stormy,0,59,181
145,Event_145,Conference,Hybrid,Finance,235,2024-02-25,Sunday,1,4.8,3.5,0,0.65,Stormy,0,339,178
146,Event_146,Webinar,Hybrid,Design,324,2023-04-10,Monday,0,1.0,1.2,1,0.59,Snowy,40.8,651,236
147,Event_147,Training,Hybrid,Operations,373,2023-02-13,Monday,0,1.5,2.5,0,0.52,Snowy,0,490,191
148,Event_148,Seminar,Online,Engineering,317,2023-01-29,Sunday,1,7.0,2.7,0,0.87,Stormy,0,224,298
149,Event_149,Sports,Hybrid,Leadership,530,2024-06-19,Wednesday,0,2.8,1.1,1,0.65,Cloudy,0,391,445
150,Event_150,Conference,Offline,Leadership,501,2022-10-20,Thursday,0,4.5,4.4,1,0.39,Rainy,145.5,442,195
151,Event_151,Conference,Offline,Engineering,595,2022-07-19,Tuesday,0,3.2,2.2,1,0.65,Stormy,0,668,421
152,Event_152,Workshop,Online,Marketing,423,2023-01-18,Wednesday,0,6.5,2.4,1,0.83,Cloudy,120.49,441,375
153,Event_153,Conference,Online,Engineering,160,2024-01-01,Monday,0,3.0,2.9,1,0.4,Stormy,27.96,657,72
154,Event_154,Seminar,Offline,Finance,364,2023-06-04,Sunday,1,6.7,3.1,1,0.63,Clear,0,719,279
155,Event_155,Summit,Hybrid,Finance,47,2023-09-04,Monday,0,4.1,4.9,0,0.8,Stormy,96.09,566,44
156,Event_156,Summit,Online,Sales,52,2023-08-10,Thursday,0,7.6,1.4,0,0.61,Snowy,0,737,29
157,Event_157,Summit,Hybrid,Leadership,83,2023-12-24,Sunday,1,1.5,1.8,1,1.0,Snowy,0,351,75
158,Event_158,Sports,Hybrid,Operations,579,2022-12-29,Thursday,0,5.6,4.5,1,0.73,Cloudy,191.47,315,553
159,Event_159,Meetup,Online,Finance,315,2023-12-23,Saturday,1,2.1,3.8,1,0.64,Stormy,186.74,768,247
160,Event_160,Meetup,Online,Design,424,2024-04-18,Thursday,0,3.1,4.1,0,0.5,Rainy,0,110,190
161,Event_161,Sports,Hybrid,Finance,510,2022-08-08,Monday,0,2.0,3.2,1,0.4,Stormy,148.18,275,304
162,Event_162,Conference,Hybrid,Sales,258,2022-02-23,Wednesday,0,1.3,2.3,1,0.37,Cloudy,1.04,593,105
163,Event_163,Summit,Hybrid,Leadership,508,2023-10-29,Sunday,1,2.0,4.9,1,0.5,Clear,0,121,360
164,Event_164,Webinar,Hybrid,Engineering,199,2023-03-04,Saturday,1,7.1,1.7,0,1.0,Snowy,0,220,188
165,Event_165,Conference,Online,Finance,129,2022-12-10,Saturday,1,2.6,5.0,1,0.92,Cloudy,170.21,509,121
166,Event_166,Webinar,Online,Operations,186,2024-01-19,Friday,0,3.9,2.0,0,0.31,Rainy,0,611,62
167,Event_167,Webinar,Online,Design,457,2023-06-12,Monday,0,3.0,2.6,0,0.43,Cloudy,95.49,284,237
168,Event_168,Meetup,Offline,Sales,477,2024-02-11,Sunday,1,2.5,2.3,0,0.48,Rainy,138.55,93,98
169,Event_169,Workshop,Offline,Finance,183,2023-02-20,Monday,0,5.6,4.7,1,0.78,Rainy,73.51,256,140
170,Event_170,Seminar,Offline,HR,485,2024-02-05,Monday,0,7.9,2.5,1,0.83,Cloudy,152.37,726,430
171,Event_171,Workshop,Hybrid,Leadership,560,2023-12-22,Friday,0,3.2,4.7,0,0.34,Stormy,180.58,237,222
172,Event_172,Cultural,Online,HR,355,2024-05-24,Friday,0,4.4,1.5,0,0.8,Snowy,18.19,552,339
173,Event_173,Conference,Offline,HR,545,2023-03-02,Thursday,0,3.9,1.2,1,0.77,Rainy,144.66,435,391
174,Event_174,Conference,Hybrid,Sales,94,2022-02-16,Wednesday,0,3.7,3.8,0,0.95,Clear,197.23,513,84
175,Event_175,Meetup,Offline,HR,158,2024-02-24,Saturday,1,5.3,3.9,1,0.56,Snowy,89.71,416,113
176,Event_176,Workshop,Hybrid,HR,376,2022-05-02,Monday,0,1.8,3.1,0,0.81,Cloudy,166.96,53,303
177,Event_177,Sports,Hybrid,Design,564,2023-01-24,Tuesday,0,6.7,2.0,1,0.41,Cloudy,187.48,772,340
178,Event_178,Conference,Hybrid,Design,36,2022-09-04,Sunday,1,2.0,1.4,0,0.61,Clear,0,75,26
179,Event_179,Sports,Online,Sales,77,2022-05-24,Tuesday,0,4.3,2.2,1,0.7,Rainy,0,176,66
180,Event_180,Cultural,Online,Design,327,2022-10-09,Sunday,1,1.0,4.8,0,0.74,Snowy,111.17,78,310
181,Event_181,Summit,Hybrid,Operations,446,2023-02-23,Thursday,0,1.6,2.5,1,0.47,Cloudy,60.15,754,228
182,Event_182,Sports,Online,Design,446,2023-07-25,Tuesday,0,4.5,2.6,1,0.44,Clear,184.45,409,281
183,Event_183,Cultural,Hybrid,Sales,72,2022-10-02,Sunday,1,3.3,3.4,0,0.91,Cloudy,0,631,73
184,Event_184,Cultural,Online,Leadership,233,2024-06-09,Sunday,1,7.3,2.2,0,0.45,Cloudy,0,150,165
185,Event_185,Webinar,Hybrid,Sales,426,2022-09-03,Saturday,1,4.6,4.1,1,0.63,Rainy,61.68,398,356
186,Event_186,Sports,Offline,Marketing,500,2024-02-19,Monday,0,6.8,4.7,1,0.52,Clear,0,256,253
187,Event_187,Conference,Offline,Design,322,2022-06-06,Monday,0,2.0,1.9,0,0.65,Rainy,0,530,182
188,Event_188,Sports,Offline,HR,380,2022-06-23,Thursday,0,1.5,3.2,0,0.94,Stormy,0,90,93
189,Event_189,Conference,Online,Engineering,26,2023-02-27,Monday,0,1.5,3.5,0,0.8,Clear,43.74,496,20
190,Event_190,Conference,Hybrid,Leadership,519,2022-01-17,Monday,0,0.5,3.2,0,0.31,Rainy,107.15,323,103
191,Event_191,Cultural,Hybrid,Design,203,2022-04-20,Wednesday,0,7.4,3.1,0,0.43,Stormy,50.48,392,116
192,Event_192,Summit,Online,Operations,435,2023-04-16,Sunday,1,4.7,5.0,0,0.51,Clear,130.75,695,282
193,Event_193,Workshop,Offline,Design,406,2023-07-20,Thursday,0,4.1,3.5,0,0.36,Snowy,0,369,150
194,Event_194,Workshop,Hybrid,Engineering,255,2022-08-05,Friday,0,7.3,3.8,1,0.49,Clear,136.89,317,140
195,Event_195,Conference,Online,Operations,36,2022-08-01,Monday,0,4.9,4.0,1,0.95,Rainy,0,276,36
196,Event_196,Summit,Hybrid,Operations,413,2024-02-13,Tuesday,0,6.0,4.2,0,0.65,Rainy,10.74,477,245
197,Event_197,Workshop,Offline,Design,354,2022-01-31,Monday,0,5.3,4.1,1,0.64,Rainy,0,414,227
198,Event_198,Seminar,Hybrid,Design,107,2024-03-01,Friday,0,5.1,4.2,0,0.36,Cloudy,76.0,679,40
199,Event_199,Summit,Offline,Operations,129,2022-04-04,Monday,0,0.5,2.2,1,0.83,Clear,26.5,221,114
200,Event_200,Sports,Hybrid,Design,125,2022-01-27,Thursday,0,1.2,3.2,1,0.9,Clear,58.37,427,114
201,Event_201,Cultural,Online,HR,409,2022-06-23,Thursday,0,1.5,2.2,1,0.4,Cloudy,86.94,461,244
202,Event_202,Sports,Online,Operations,277,2022-09-10,Saturday,1,5.9,3.0,0,0.62,Cloudy,0,435,240
203,Event_203,Summit,Offline,Leadership,362,2023-03-17,Friday,0,6.6,4.4,0,0.51,Stormy,189.46,235,204
204,Event_204,Training,Online,Design,346,2022-10-26,Wednesday,0,6.0,3.5,0,0.53,Rainy,163.3,432,148
205,Event_205,Workshop,Hybrid,Sales,578,2022-07-04,Monday,0,5.6,3.2,1,0.96,Cloudy,0,328,545
206,Event_206,Summit,Hybrid,Leadership,162,2023-10-11,Wednesday,0,2.8,2.0,0,0.8,Snowy,14.79,642,131
207,Event_207,Summit,Hybrid,Design,576,2022-02-07,Monday,0,6.4,2.4,0,0.38,Cloudy,131.52,393,215
208,Event_208,Conference,Hybrid,Design,359,2024-03-26,Tuesday,0,3.7,1.0,1,0.46,Stormy,0,734,187
209,Event_209,Webinar,Offline,Operations,420,2023-04-20,Thursday,0,6.3,3.4,0,0.54,Clear,96.55,332,269
210,Event_210,Workshop,Online,HR,376,2022-11-16,Wednesday,0,3.1,4.1,1,0.54,Clear,87.63,743,242
211,Event_211,Training,Online,Finance,65,2024-04-09,Tuesday,0,5.8,1.1,1,0.75,Cloudy,185.98,788,50
212,Event_212,Cultural,Online,HR,358,2023-07-28,Friday,0,3.7,2.8,1,0.74,Cloudy,128.1,472,337
213,Event_213,Conference,Hybrid,Sales,480,2023-08-30,Wednesday,0,3.7,1.0,0,0.44,Clear,115.47,579,208
214,Event_214,Training,Offline,Sales,488,2022-04-27,Wednesday,0,2.5,4.5,1,0.72,Stormy,0,146,146
215,Event_215,Training,Offline,HR,324,2023-09-22,Friday,0,4.9,3.7,1,0.38,Rainy,0,412,103
216,Event_216,Cultural,Offline,Design,161,2023-08-12,Saturday,1,3.4,1.7,0,0.69,Snowy,57.77,221,151
217,Event_217,Sports,Hybrid,Engineering,387,2022-01-10,Monday,0,4.1,1.8,1,0.97,Stormy,130.61,448,372
218,Event_218,Sports,Offline,Leadership,520,2022-06-21,Tuesday,0,1.1,1.1,0,0.5,Rainy,44.97,325,283
219,Event_219,Sports,Hybrid,Leadership,582,2023-06-08,Thursday,0,1.3,1.5,1,0.68,Clear,0,481,515
220,Event_220,Webinar,Offline,Marketing,273,2022-11-01,Tuesday,0,7.1,1.1,1,0.54,Clear,0,150,148
221,Event_221,Webinar,Hybrid,Operations,458,2022-06-19,Sunday,1,5.1,4.1,0,0.86,Stormy,70.16,317,439
222,Event_222,Cultural,Online,Operations,319,2022-10-24,Monday,0,4.8,4.8,0,0.39,Snowy,183.75,313,193
223,Event_223,Seminar,Hybrid,HR,275,2022-05-30,Monday,0,5.8,4.3,1,0.64,Stormy,0,672,204
